k_number	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
K13936	52.706659048952474	24.340009113428625	51.476174631376146	44.83367168413911	46.179785004716514	70.27621860212798
K13938	1.3975978200392296	0.8497373184135403	0.8761703173202491	4.862080765693686	1.5538101706066674	1.4217509549970444
K13940	0.3575053472933998	0.0	0.09396612957531195	0.6898152762203144	0.0	0.0
K13953	28.001881378161425	88.36014369966114	46.13012536120781	27.21623673131253	91.8529490884506	106.19892107972927
K13954	2.569313881472384	1.6554792554156676	5.621838554949496	7.8011211948225725	2.794879568794328	2.726814310519039
K13955	13.437395636437053	15.998340315624544	1.5269463649404673	8.874070317318196	19.751021928501395	17.245547621840817
K13963	31.086213281109366	29.797658787324373	8.527166543340204	49.46890856531112	1.182992289376239	3.2803675014554834
K13967	0.23005949523404312	0.0	0.0	0.1419715631018976	0.0	0.0
K13979	5.443564477517921	2.719257027127263	14.08138829882351	0.8428730029841707	9.067482207270668	12.73737727383745
K13985	26.817676021384944	21.6100786016283	11.543582448233552	15.42228334776738	36.45970802352791	24.736773809436563
K13990	37.12183652247492	35.430013359791715	6.881886149821971	48.73551310495922	19.846356261347722	17.923004369612215
K13991	29.510887460037146	10.559845562427293	36.927079704750206	9.552751147528157	54.892167047548625	75.0182460028296
K13992	32.055641402776516	22.019688396412228	53.42098444686009	9.53481157274684	52.27772945995392	83.2937839564745
K13993	423.0806062109091	518.6190588029104	479.60734006005464	515.8243188629215	426.5215410561466	469.4732704890716
K13995	12.01442106720986	14.108074727634097	30.626310262418105	11.616526482605416	44.55418914079658	44.942356905531895
K14002	0.0	0.0	0.0	0.0	0.0	0.09240335545351049
K14004	1.1769009048586143	0.0	1.0553046519963187	0.17705673626870572	0.04455848676192425	1.4823638119339464
K14005	0.0	0.0	0.0	0.0	0.0	0.08487735285400783
K14007	0.0	0.0	0.0	0.0	0.6576366008882975	0.4037341966537708
K14015	0.0	0.0	0.0	0.0	0.2785676446691529	0.2016735669034398
K14016	0.0	0.0	0.0	0.0	0.15411542015760335	0.05107847211654054
K14018	2.274568267951759	0.11405821931966106	0.0	1.2619450105812604	0.41603564944459287	0.39463624494138333
K14048	0.7205117227044954	0.9438106715718877	6.837111362225624	0.7363406836039754	1.4668230114014122	3.3551970187738656
K14052	0.0	0.16130445023496334	0.0	0.0	0.0	0.0
K14054	9.404576992410506	7.382458639820644	3.6446091933118834	13.499090117099332	6.570863802322244	8.075138139477382
K14055	52.73999311289503	222.10516846772603	153.83406863686162	58.94085652044805	125.54295985980738	180.65477464007822
K14056	0.0	1.2090485579388266	0.0	0.0	0.22251754696682272	0.08497609337617396
K14058	63.8296149422196	28.686951873495563	36.721260863301204	69.88152937257723	48.65675905724058	59.12962815799421
K14059	36.77911573717958	43.76809767553046	40.7750318765302	66.21929178801852	26.975673915912754	34.49414632581657
K14060	37.218348972143865	22.19402106030782	29.038121010038687	15.481705506877798	67.07591847474508	53.1383455448989
K14061	6.7603156283340695	4.834410262604317	18.973445407335195	3.959501274214104	8.585706140202	23.21941833125737
K14063	2.4105950212420715	3.456700794314856	12.142683883674769	0.38781723406959373	5.283456974877799	8.791950884573753
K14067	2.633314932925789	4.148574765276176	3.482787381454717	1.7086720743977533	6.155044933558557	10.913639829428973
K14080	1.1932839561340935	0.883434207121793	1.2710047237118642	4.903635773545382	0.0	0.0
K14081	0.7954006525877615	0.40378639007467787	0.7201113219153689	2.2123588975565367	0.0	0.09868720228416318
K14082	0.0	0.0	0.15051654372053153	0.8334579450472059	0.0	0.0
K14083	354.0420094840868	398.54741862241406	152.63171957509346	479.9529481230852	73.17727331471505	94.50641008702246
K14084	0.0	0.0	0.14811660473526056	0.7899126315005727	0.0	0.0
K14085	0.0	0.0	0.0	0.0	0.1294493544342932	0.0
K14086	1.6778428522575948	1.9428085804807917	5.977220260661174	2.2283993666343287	0.5694001592023564	3.4077032788409283
K14087	3.115297509334775	2.275875896699872	5.982503459677361	2.9784629665931504	0.5123689613049974	3.6855887303730768
K14088	1.2057527580251346	2.134663847088183	6.065712455328724	3.7950462308764124	0.831921563779694	3.4956968825745
K14089	3.8076863602465165	2.264675768892579	5.411179095824929	3.045599572035967	0.7220740995745529	3.20022969366545
K14090	3.7644890904878143	7.684354748540601	6.294123315003297	15.993425976338925	0.7578138588431201	3.4528553448170576
K14091	1.6822343063164258	1.9661049566117161	6.1021967129582055	2.8944489980337007	0.6532406462559018	3.183331240701938
K14099	0.0	0.06790111949344808	0.0	0.0	0.0	0.0
K14109	0.0	0.13438774721802835	0.0	0.0	0.0	0.0
K14113	30.565313638831007	22.85245732818715	24.114216563048075	57.48197585782293	9.18419960769339	18.516097215244862
K14114	0.0	1.1058237463382332	0.0	0.0	0.0	0.0
K14118	2.4829691117676473	1.5334579713231213	1.6063295319316675	9.034601078672473	0.0	0.0
K14126	11.425058656154334	20.112029798523107	6.902554142888799	40.95211153199748	0.0	1.610276233968842
K14127	71.04319596505394	70.08207003317563	14.22036254339652	132.29272260153675	0.1688654458687429	2.9689675418897066
K14128	23.469786611642203	30.383418302681633	8.26920273129994	58.60558925790068	0.0	1.857453383107322
K14136	52.996992714961976	63.662331586468554	16.893600136029523	62.04792220434313	44.82367658024387	31.31492664045762
K14138	13.96754953623538	19.040253117217972	5.434256286900892	31.56350159254245	0.0	1.2904201360847576
K14153	1.1077179376157893	0.4667629826691047	0.0	0.17696553627729356	0.0	0.19122287003737629
K14155	59.48553588977518	43.95785739877654	15.174638282414879	75.52110884152872	37.857167921596485	37.411113159112695
K14160	21.751518960955053	10.128397999983648	9.987166462142156	11.474098919546455	29.032328106978824	46.98521141748972
K14161	31.94997716284897	19.125326663098377	8.324284664260498	16.834786132406727	44.83077223655187	62.63231389472763
K14162	29.431858852794427	22.319643370229095	18.631263366042507	16.13857880972949	48.958526704471424	71.57900697601924
K14164	2.6772294735140996	7.083874041070301	0.4171856899967233	15.56754615761818	4.929802759929425	2.9859568361336115
K14165	0.0	0.0	0.0	0.0	0.0970663434412005	0.0
K14166	0.16711239275475828	0.0	0.0	0.1480765978211373	0.5171761287754005	0.2788412597867159
K14167	0.5049440258645949	0.2023412552955086	0.0	0.1585324086012763	0.0	0.0
K14168	5.084012712633106	14.469762754498106	39.13639761034077	18.21691395520044	24.086454523581402	19.511154827374064
K14169	0.0	0.0	0.0	0.0	0.0	0.04605257953828438
K14170	49.42773888902168	22.848561271911493	23.526053738398534	46.26776740792164	21.48233077972258	45.68963307652701
K14187	8.34398521211805	5.113721377018627	1.435078330172495	5.528202820615651	1.0632757170589175	1.656407805924859
K14188	12.958580762222507	17.803204239760916	2.2278618785832136	18.75211574009751	2.180878460634818	2.1863560876322676
K14189	0.702521399243484	0.5300290911226565	0.24485858966467836	1.02308955072004	0.5429998480317971	1.1632008725154686
K14191	0.0	0.0	0.0	0.0	0.08053737523520232	0.0
K14194	12.120056030777018	5.040005124697611	1.932515683598761	1.248750517706067	16.37628309136408	5.609948691300169
K14201	0.0	0.0	0.5256921906463775	0.6818621004986335	0.0	0.0
K14205	1.3905392895486683	1.4421612131184771	0.452119987031551	0.9113561494766614	0.39770762507231183	0.2889483396356413
K14213	1.0580593751185272	0.7215507251685797	1.1775330260108323	0.3788313525628042	4.751778889005494	1.6413952969347203
K14257	0.5888647129288569	6.46522000952864	3.157504910516645	0.37374024715985293	4.7042525182822965	3.2508855563471197
K14259	2.8511339818798493	5.873300699606749	3.2329122526611034	3.5513571714703462	1.4696769178912796	2.7324642431973856
K14260	34.44574589938009	13.802599651436575	9.179598104427114	27.113663564500698	22.607263839106437	27.363919436881098
K14261	42.58472047021567	22.504583343744248	26.7492477196131	32.037146065588985	19.24642131407093	29.495046000844955
K14266	1.6622297692604304	1.469224052711923	0.5573691630862271	0.735128260188731	9.356971575523204	9.142053179207766
K14267	11.985859050011221	13.363539200544887	10.012571371817259	12.827455827402305	9.744161985293	23.730345238774696
K14273	26.525705806829517	27.24560406207653	24.94028815405081	28.954631955852587	14.495737502731869	19.833159519020473
K14274	0.6165338011355319	0.0	1.1615297291661473	1.488032471644774	0.9229985028412196	1.4374783453676658
K14285	0.0	0.0	0.0	0.0	0.11783706146534154	0.0
K14287	22.08892315920315	9.819335684426873	5.2040306585491845	16.94458287500894	33.26357411893345	27.340107172555513
K14290	0.0	0.0	0.0	0.0	0.22544520358524583	0.10607299334218992
K14291	0.0	0.0	0.0	0.0	0.196660304924719	0.09407601989900477
K14292	0.20948406915039985	0.19145821628630533	0.0	0.8486159200904502	0.25659681091669645	0.08699632445969306
K14293	0.0	0.0	0.0	0.0	0.19242749451609809	0.0
K14297	0.0	0.0	0.0	0.0	0.31979396653178793	0.0
K14298	0.30635076278009604	0.0	0.0	0.17705673626870572	0.0	0.0
K14299	0.0	0.0	0.0	0.0	0.0	2.3103504857476107
K14309	2.648541567965775	0.8728351693839218	0.0	1.4009391621988188	0.0	1.8710440285782688
K14314	0.0	0.0	0.0	0.0	0.40379983266148856	0.13230440046084477
K14319	0.0	0.0	0.0	0.0	0.07110182848483398	0.0
K14324	0.0	0.0	0.14390745248717346	0.0	0.23436896914048527	0.0
K14325	0.0	0.0	1.1707813458099854	0.0	0.9673804362650862	0.0
K14328	0.0	0.0	0.1087527906844081	0.0	0.0	0.10665161280208345
K14330	7.380690487953059	5.68860061066059	4.6835438911185445	18.75475785749578	13.73977410165978	8.589230668135349
K14331	2.5127958677352282	1.5040983059139506	2.271892240660982	1.1756537245891947	4.953025111014948	1.2843100725731171
K14335	14.21283566650941	9.49201456868795	3.671438140857104	12.015644468552052	6.306849516354749	13.702157092249626
K14340	55.92018753031122	96.64185514168733	28.350432937886524	190.1189086857709	40.62055395064516	32.933305521675415
K14347	16.431591481009463	5.212857121770817	4.499268946393778	11.760622469036678	8.193945457314136	10.771173054426795
K14358	12.004297301786238	12.077369132322957	4.597799774733513	24.65720788992942	0.4451758896336154	1.3266322351839652
K14376	0.0	0.0	0.0	0.0	0.5608138563565689	0.1940053779520179
K14379	2.2449347359627665	7.008274557018023	9.537270492642481	1.3675653300473334	15.546761759041017	14.322028367493736
K14387	2.2403939724659354	0.18155125931643773	0.4213689169779942	1.7589608226035116	4.895388268122479	1.9695969437522858
K14392	0.0	0.1755183002710522	0.22689978698014304	0.4768820727416654	0.0	0.0
K14393	57.76574879598368	40.44776988003904	88.66119222289983	42.5442192879597	118.32150594615246	121.01159702629785
K14394	1.8663123499184682	3.0123270380847504	0.3008719804258481	1.2858259965678116	12.04810035740633	5.687003819988178
K14396	0.0	0.0	0.04006935166920758	0.0	0.10280320950188158	0.0
K14399	0.0	0.0	0.0	0.0	0.09379898926094504	0.0
K14404	0.0	0.0	0.09632347705081344	0.0	0.16230391927966628	0.07290210232569924
K14408	0.0	0.0	0.08223864995052724	0.0	0.0	0.0
K14414	0.1713252610151969	0.0	0.0	0.20924765088452105	0.0	0.0
K14415	105.11947126864838	185.17494458641434	151.43453519683584	145.32238222166328	105.68878161512802	104.53989664996705
K14440	0.7507424924454885	3.836352590914095	7.928768793712571	2.156793961612315	0.9685626731743578	4.88423942515663
K14441	94.34739840995394	52.493457705492034	35.897926239752366	98.6124933494914	78.26636964776769	78.7374361328958
K14445	144.12482000277203	202.55473877543963	124.05983856347714	146.89097379160467	144.38860509648754	148.92080507241005
K14446	7.831004825325795	2.034320407609357	15.522862762680516	2.227063554995409	26.676129946800458	22.10748551266101
K14447	1.021379023183131	0.7109599593123979	3.3754104817163393	2.6064421075066866	15.130350654396507	19.757006878705074
K14448	9.613373067091688	3.681001138201521	3.909559864759115	2.9381981703846676	25.292233367828974	30.592003831849617
K14449	12.170431864103891	7.856958589163129	25.55062819265684	9.417152854414356	35.42924664397152	38.91789945179923
K14451	8.110708244876903	0.19952605822725508	0.9632866210417669	2.4796472959168527	17.256660724457248	11.289031546600182
K14459	9.169045745419156	0.20872439066574056	0.126972697841878	1.2547723994919604	0.0	0.35469570372518255
K14466	3.9468134801023638	3.2727782622474897	3.602025090761505	8.91166080789615	0.0	0.5011140744244544
K14468	0.0	0.0	0.0	0.0	3.716910380554802	0.7488026994677555
K14469	1.754696225923178	0.0	2.1677485920555393	1.6660146195910444	9.077925672444628	12.867189463518821
K14470	9.25218182602491	2.8338336176994527	10.001147588175176	3.11346845976277	28.163314698240377	42.53251941927061
